ORG_ID,ORG_NAME,ORG_DOMAIN,ORG_IDENTIFIER_EXTERNAL_URL
df550b0e-d44a-4ff3-9688-daf24e9c4d5d,Music One Film Productions,osfp.in,https://www.linkedin.com/company/one-shot-film-productions/
a2d69bc0-df45-4342-a20c-bc837ddbb184,Big Blue Production,bigbluethai.com,https://www.linkedin.com/company/big-blue-production-co-ltd/
134e30b0-b422-4ac3-b97f-a7badb73750b,Cubica,cubicavfx.com,https://www.linkedin.com/company/c-bica
7c9f7a02-13ad-4111-8b17-6992b9686f79,DDB Chile,ddbchile.com,https://www.linkedin.com/company/ddbchile/
ede79889-733d-400e-8d60-5387c4c2d24a,Maya Digital Studios Private Limited,cosmos-maya.com,https://www.linkedin.com/company/cosmos-maya-digital-studios-pvt-ltd
e83bafe6-cf5a-4407-8ce0-5e941020943e,CD Projekt Red Wroclaw,cdprojektred.com,https://www.linkedin.com/company/cd-projekt-red
7450582c-246e-4f80-8fb5-a576d15bd334,Truly Social Games,trulysocialgames.com,https://www.linkedin.com/company/truly-social-games
f3a6e1db-dbd2-4d81-89b6-dffad628688a,Lira,liraclinical.com,https://www.linkedin.com/company/lira-cosmeceutical/
c4272712-f510-4922-aaab-478cb81c9297,Oxymoron Agency,oxymoronagency.com,https://www.linkedin.com/company/oxymoronagency
9c100878-c579-4f3f-b278-f4cef6c10af1,SBS Australia,sbs.com.au,https://www.linkedin.com/company/special-broadcasting-service-sbs-australia/
6ed924d2-99f3-4c7d-bd9c-8d8de3338146,God Father Films,godfatherfilms.com,https://www.linkedin.com/company/godfather-films/
d7c606d2-556e-40ca-9d92-e4e36a3ae77b,Funcom Oslo AS,funcom.com,https://www.linkedin.com/company/funcom
9572b288-492b-4127-b290-21d706e8a46b,Arts & Letters Creative Co.,artsandletters.xyz,https://www.linkedin.com/company/arts-and-letters-creative-co/
6ef03cfd-5290-4dfb-98f0-e41f1284437a,KeplerFilm,keplerfilm.com,https://www.linkedin.com/company/kepler-film
